Section,Current claim,Current number/result,New number/result,Status,Required rewrite,Supporting output,Supporting figure/table
Abstract,A3/LightGBM champion with WMASE ~0.454 forecasts UK CO2e using grid dynamics,WMASE=0.454,WMASE=0.4541 (reproduced),KEEP,None - number reproduces within rounding,outputs/robustness/champion_reproduction.csv,Table 7
Introduction contribution,Electricity-grid predictors add measurable forecasting value over macro/weather/mobility baselines,qualitative claim,"A3 significantly beats A2 (p=0.031 Holm-corrected); directionally but not significantly beats A1/A4 at n=27",REVISE,"Soften strength of claim: value is significant vs engineered-history-only (A2), directionally consistent but not significant vs raw baseline (A1) or full fusion (A4) at this sample size",outputs/robustness/grid_signal_paired_tests.csv,None yet - consider new summary table
Methods,SHAP/regime interpretability methodology description,"describes TreeExplainer + regime split, no mention of hyperparameter provenance",Interpretability refits must use each cell's actual PSO-tuned hyperparameters (not defaults) - now enforced with integrity checks,REVISE,"Add one sentence: interpretability refits use each cell's tuned hyperparameters recovered from walk-forward provenance, validated by automated integrity checks (all-zero/identical-regime/NaN/additivity)",outputs/audit/champion_shap_diagnosis.md; src/interpretability/integrity_checks.py,None
Results 4.2 (champion performance),A3/LightGBM WMASE=0.454; H1=0.376 H2=0.575 H4=0.467,as stated,Reproduced: 0.4541/0.3763/0.5751/0.4672,KEEP,None,outputs/robustness/champion_reproduction.csv,Table 7
Results 4.5 (interpretability / regime SHAP),"Top predictors reported as GDP, Population, Air_Temp, Rainfall, COVID_Deaths across all regimes (identical ordering)",all-zero SHAP artifact (bug),"Grid_CI_std is #1 in all three regimes; grid family holds 61-69% of attribution in every regime; Spearman regime-rank correlation 0.91-0.97; Air_Temp ranks 8th globally, not top-5",REVISE,"Replace entire regime-SHAP results paragraph and any table/figure built from the old (zero) output; report the corrected ranking and explicitly note SHAP is predictive attribution only, not causal",outputs/interpretability/champion_A3_LightGBM_{global,regime}_shap.csv; regime_rank_changes.csv,fig_champion_regime_importance.pdf
Results (new - mobility robustness),not previously reported,n/a,"A3 ranks #1 of 4 configurations under all four mobility-treatment scenarios (M0 current convention, M1 mobility removed, M2 missingness-indicator, M3 COVID-window-restricted evaluation); margin narrows under M1 but never flips",NEW RESULT TO ADD,Add mobility-robustness table/figure to results; state the grid advantage does not depend on the mobility encoding convention,outputs/robustness/mobility_sensitivity_results.csv,fig_mobility_robustness.pdf
Results (new - grid ablation),not previously reported,n/a,"Gain concentrated in carbon-intensity statistics, not generation-mix shares: A3_CI_only WMASE=0.589 beats A3_no_grid=0.637 and A3_genmix_only=0.745 (genmix alone is WORSE than no grid data at all); full A3 (0.455) beats every single-family variant, so the combination adds value beyond any one grid statistic",NEW RESULT TO ADD,"Add ablation table/figure to results; state explicitly that carbon-intensity distributional statistics (not generation-mix shares) drive the electricity-grid predictive gain",outputs/robustness/grid_ablation_results.csv,fig_grid_ablation.pdf
Results (new - statistical robustness),not previously reported,n/a,"A3 significantly beats A2 and seasonal-naive after Holm correction (p=0.031, p=0.005); A3 vs A1/A4 directionally favorable (59% of paired origins) but not significant (p=1.0 after correction)",NEW RESULT TO ADD,Add paired-test table and honest significance framing to results,outputs/robustness/grid_signal_paired_tests.csv,None yet - consider new summary table
Results (new - origin-level diagnostic),not previously reported,n/a,"Grid advantage over seasonal-naive is broadly distributed across 2022Q3-2025Q1 (positive in ~19/27 origin-horizon pairs), not driven by 1-2 exceptional quarters; largest negative exceptions cluster at H4 in mid-late 2024",NEW RESULT TO ADD,Add as a robustness footnote or supplementary figure,outputs/robustness/champion_origin_diagnostics.csv,fig_origin_level_grid_gain.pdf
Discussion 5.1 (electricity-grid dynamics interpretation),Discusses Air_Temp/GDP/Population and/or grid variables based on the broken SHAP output,as stated (unreliable - based on all-zero SHAP),"Discussion should center on Grid_CI_std (dispersion) as the dominant, regime-stable signal; grid share 61-69% of attribution across all regimes",REVISE,"Rewrite to match corrected SHAP; remove any interpretation drawn from the pre-fix output; add explicit non-causal caveat",outputs/interpretability/champion_A3_LightGBM_global_shap.csv,fig_champion_regime_importance.pdf
Discussion 5.3 (robustness / limitations of the grid finding),Not previously addressing mobility-treatment or ablation sensitivity explicitly,as stated,"A3 advantage survives all 4 mobility-treatment scenarios (M0-M3, always rank #1); ablation shows the gain is carbon-intensity-driven, not generation-mix-driven; add the A1/A4 significance caveat from section H",REVISE,"Add mobility/ablation robustness paragraph plus the honest significance caveat (vs A1/A4 not significant at n=27, vs A2 significant)",outputs/robustness/grid_signal_paired_tests.csv; mobility_sensitivity_results.csv; grid_ablation_results.csv,fig_mobility_robustness.pdf; fig_grid_ablation.pdf
Limitations,Short common evaluation window not explicitly quantified,vague/unstated,"Explicitly n=27 paired forecast origins (11/8/8 across H1/H2/H4) over a 28-quarter common period 2018Q2-2025Q1; state this plainly as a small-sample caveat on significance claims",REVISE,Add explicit sample-size statement to limitations,outputs/robustness/grid_signal_paired_tests.csv,None
Conclusion,States electricity-grid dynamics improve national CO2e forecasting,as stated,"Still supported: A3 is the reproducible champion, grid signal (esp. carbon-intensity dispersion) is the dominant and regime-stable predictive driver, and the advantage over the engineered-features-only configuration (A2) is statistically significant. Advantage over the plain baseline (A1) and full fusion (A4) is directionally consistent but not significant at this sample size.",REVISE,Adjust conclusion wording to match the more precise, honestly-qualified evidence above,All outputs above,All figures above
